Model,accuracy,precision,recall,f1,roc_auc
CatBoost,0.8913043478260869,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9377092300334768
LogisticRegression,0.8858695652173914,0.8715596330275229,0.9313725490196079,0.9004739336492891,0.9307747489239598
RandomForest,0.8695652173913043,0.875,0.8921568627450981,0.883495145631068,0.9314323290291726
LightGBM,0.8586956521739131,0.8653846153846154,0.8823529411764706,0.8737864077669902,0.923481587757054
XGBoost,0.8586956521739131,0.8725490196078431,0.8725490196078431,0.8725490196078431,0.9219273075083692
